team1,score1,team2,score2
Brother Rice,13.0,St Patrick,3.0
Curie,20.0,Brooks,4.0
Elk Grove,21.0,Wheeling,14.0
Fenwick,10.0,St Rita,7.0
Hersey,10.0,Libertyville,9.0
Jones-Payton,10.0,Northside,9.0
Kenwood,17.0,Prosser,7.0
Kennedy,9.0,Amundsen,8.0
Lindblom,14.0,Julian,1.0
LWC,13.0,H-F,6.0
LWW,13.0,H-F,7.0
LWW,15.0,LWC,13.0
York,20.0,Oak Park,2.0
Elk Grove,14.0,Maine East,8.0
GBN,18.0,Lake Forest,6.0
Lane,10.0,Northside,1.0
LWW,17.0,Bremen,4.0
Metea,17.0,LWC,8.0
Neuqua,15.0,Barrington,13.0
Senn,21.0,Little Village,1.0
Waubonsie,12.0,Lockport,8.0
Whitney Young,18.0,Taft,11.0
Barrington,23.0,Elk Grove,1.0
Curie,16.0,Julian,1.0
Deerfield,18.0,Warren,16.0
Fenwick,18.0,St Patrick,4.0
Fremd,17.0,Prospect,9.0
Hersey,14.0,Conant,6.0
Hoffman,16.0,Meadows,12.0
Jones-Payton,13.0,Westinghouse,6.0
Lane,11.0,Von,7.0
Lindblom,14.0,Solorio,4.0
McHenry,7.0,VH,6.0
Mt Carmel,20.0,St Ignatius,16.0
Prosser,3.0,Chicago Ag,0.0
Schaumburg,7.0,BG,4.0
Shepard,5.0,Stagg,0.0
St Rita,9.0,Loyola,7.0
York,20.0,Morton,2.0
Elk Grove,19.0,Leyden,9.0
Kennedy,15.0,Senn,7.0
LWW,9.0,Metea,8.0
NN,14.0,New Trier,6.0
NN,16.0,York,10.0
Schaumburg,16.0,Lockport,8.0
Stevenson,17.0,Conant,6.0
STC,8.0,Maine South,5.0
Waubonsie,17.0,Sandburg,5.0
Westinghouse,18.0,Little Village,0.0
Whitney Young,21.0,Curie,8.0
York,10.0,New Trier,8.0
McHenry,8.0,Elk Grove,4.0
BG,15.0,Deerfield,9.0
Warren,11.0,Lake Forest,7.0
Maine West,8.0,Libertyville,7.0
Deerfield,16.0,Warren,6.0
Libertyville,8.0,McHenry,2.0
BG,13.0,Lake Forest,3.0
Maine West,13.0,Elk Grove,5.0
Palatine,8.0,St Rita,5.0
Oak Park,10.0,Waubonsie,9.0
Fenwick,13.0,Andrew,7.0
St Rita,6.0,Loyola,3.0
Waubonsie,17.0,St Ignatius,8.0
Fenwick,14.0,Mundelein,4.0
Kenwood,11.0,Amundsen,6.0
Taft,12.0,Solorio,4.0
Solorio,11.0,Amundsen,6.0
Kenwood,9.0,Taft,8.0
Bradley,8.0,Shepard,7.0
Shepard,,R-B,
Bradley,,R-B,
Niles West,15.0,LWC,12.0
Niles West,11.0,H-F,5.0
LWC,9.0,H-F,8.0
H-F,10.0,R-B,4.0
LWC,17.0,Shepard,5.0
Niles West,14.0,Bradley,5.0
Deerfield,15.0,Lake Forest,1.0
Libertyville,15.0,Elk Grove,2.0
BG,16.0,Warren,4.0
Elk Grove,13.0,Lake Forest,8.0
McHenry,5.0,Warren,3.0
Libertyville,14.0,Deerfield,7.0
Maine West,13.0,BG,8.0
GBS,11.0,Conant,6.0
STC,10.0,HC,7.0
STC,5.0,GBS,4.0
GBS,8.0,HC,5.0
STC,16.0,Conant,0.0
HP,9.0,VH,7.0
Hersey,13.0,Maine East,2.0
VH,14.0,Von,8.0
Schaumburg,13.0,Maine East,1.0
HP,,Von,
Hersey,4.0,Schaumburg,2.0
Schaumburg,13.0,VH,5.0
Hersey,9.0,HP,3.0
LWE,17.0,Metea,2.0
NC,12.0,Maine South,7.0
LWE,12.0,Maine South,2.0
NC,12.0,Metea,6.0
Maine South,14.0,Metea,11.0
LWE,17.0,NC,10.0
Palatine,12.0,Loyola,7.0
Oak Park,17.0,St Ignatius,11.0
Andrew,10.0,Mundelein,5.0
Oak Park,12.0,Palatine,7.0
Waubonsie,10.0,St Rita,9.0
Loyola,9.0,St Ignatius,6.0
Fenwick,11.0,Oak Park,7.0
Waubonsie,7.0,Andrew,6.0
Mundelein,20.0,St Ignatius,6.0
Palatine,10.0,Fenwick,7.0
St Rita,5.0,Andrew,3.0
Mundelein,10.0,Loyola,6.0
Mt Carmel,15.0,St Patrick,5.0
Mt Carmel,14.0,Northside,9.0
Brother Rice,17.0,Senn,7.0
Brother Rice,12.0,Lane,7.0
Northside,9.0,St Patrick,8.0
Lane,24.0,Senn,5.0
St Patrick,15.0,Senn,14.0
Lane,14.0,Northside,0.0
Brother Rice,23.0,Mt Carmel,8.0
Stevenson,8.0,Fremd,7.0
